Index,Name,Exchange,Blueprints,Date,Twitter Live Announcement
1,Ultimate Bullseye! Rising Arrow,Bullseye Coin,,2019-08-07,N/A
2,Unseen Assault,Assault Coin,,2019-08-14,https://twitter.com/GundamBattleGW/status/1161563249998880769
3,Covert Gerbera,Covert Coin,,2019-08-21,https://twitter.com/GundamBattleGW/status/1164099954748481536
4,The Commander-in-Chief's Azure MS,Commander-in-Chief Coin,,2019-08-28,https://twitter.com/GundamBattleGW/status/1165912019989450757
5,The Golden Ace,Golden Coin,,2019-09-04,https://twitter.com/GundamBattleGW/status/1169166212934144006
6,Colossus Lurking in the Debris,Colossus Coin,,2019-09-11,https://twitter.com/GundamBattleGW/status/1171702980594135040
7,Bulwark Sword,Sword Coin,,2019-09-18,https://twitter.com/GundamBattleGW/status/1174247314036338691
8,Encounter with a Stargazer,Encounter Coin,,2019-09-25,https://twitter.com/GundamBattleGW/status/1177149872752881664
9,Ashen Transformer,Ashen Coin,,2019-10-02,https://twitter.com/GundamBattleGW/status/1179592026993512448
10,The Mobile Suit Bearing a Gundam's Face,Advance Coin,,2019-10-09,https://twitter.com/GundamBattleGW/status/1181850069307232256
11,A Violet Rose Blooming in Space,Rose Coin,,2019-10-16,https://twitter.com/GundamBattleGW/status/1184442744942428162
12,The Power of AGE,AGE Coin,,2019-10-23,https://twitter.com/GundamBattleGW/status/1186922875837509634
13,Overwhelming Heavy Weaponry,Heavy Weaponry Coin,,2019-10-30,https://twitter.com/GundamBattleGW/status/1189460172847976448
14,Radiance of the Trial,Trial Coin,,2019-11-06,https://twitter.com/GundamBattleGW/status/1191996968014241797
15,The Silver-Red Psycho Frame,Silver-Red Coin,,2019-11-13,https://twitter.com/GundamBattleGW/status/1194540786928381952
16,Knockout Blow,Knockout Coin,,2019-11-20,https://twitter.com/GundamBattleGW/status/1197069982737154050
17,Obsidian Wings,Obsidian Coin,,2019-11-27,https://twitter.com/GundamBattleGW/status/1199969580719828992
18,Super Mobile Revolution,Revolution Coin,TRUE,2019-12-04,https://twitter.com/GundamBattleGW/status/1202151261027483648
19,A Trooper's Blue Spirit,Trooper Coin,,2019-12-11,https://twitter.com/GundamBattleGW/status/1204687825389539328
20,Spacefaring Pirate,Pirate Coin,,2019-12-18,https://twitter.com/GundamBattleGW/status/1207942298077552640
21,One Who Breaks the Dawn,BD Coin,,2019-12-25,https://twitter.com/GundamBattleGW/status/1209757905114681345
22,Guardian of the Kuntala,Guardian Coin,TRUE,2020-01-08,https://twitter.com/GundamBattleGW/status/1214827238077583361
23,Wings of the Future,AGE-2 Coin,,2020-01-15,https://twitter.com/GundamBattleGW/status/1217383019910029313
24,Blazing Shoulders,Blazing Coin,,2020-01-22,https://twitter.com/GundamBattleGW/status/1219901078105231361
25,Dual-Bladed Demon,Demon Coin,,2020-01-29,https://twitter.com/GundamBattleGW/status/1222430066354688001
26,Charge of the Mother Earth of Darkness,Charge Coin,,2020-02-05,https://twitter.com/GundamBattleGW/status/1224981665333706753
27,The Crimson Anomaly,Anomaly Coin,,2020-02-12,https://twitter.com/GundamBattleGW/status/1227510856251953152
28,The Leader of Sleeves' Prototype,Leader Device A,,2020-02-19,https://twitter.com/GundamBattleGW/status/1230040219778342914
29,A Sky Veiled by Crimson Wings,Crimson Wings Chip,,2020-02-26,https://twitter.com/GundamBattleGW/status/1232596235313242114
30,Manufactured Prototype,Manufactured Coin,,2020-03-04,https://twitter.com/GundamBattleGW/status/1235120447345143808
31,The Slugger of Neo America,Slugger Coin,,2020-03-11,https://twitter.com/GundamBattleGW/status/1237650208835563521
32,Dance of Red and White,Dance Device A,,2020-03-18,https://twitter.com/GundamBattleGW/status/1240186362596229121
33,Full Throttle Revolution,Full Throttle Chip,,2020-03-25,https://twitter.com/GundamBattleGW/status/1242730689843171329
34,Weathered War Machine,Weathered Coin,TRUE,2020-04-01,https://twitter.com/GundamBattleGW/status/1245259745167953923
35,Supreme Commander of G-ARMS,G-ARMS Coin,,2020-04-08,https://twitter.com/GundamBattleGW/status/1247796442493669377
36,Deity of the Deep,Deep Coin,TRUE,2020-04-15,https://twitter.com/GundamBattleGW/status/1250333426177073155
37,Fists of Iron,Iron Coin,TRUE,2020-05-13,https://twitter.com/GundamBattleGW/status/1260495410692530177
38,The Roving Azure Fortress,Fortress Device A,,2020-05-20,https://twitter.com/GundamBattleGW/status/1263016760740966400
