Index,Part Name,Collection ID,Unit ID,Part Type,X Part,Rarity,Attr,W Tag 1,W Tag 2,Armor,Melee ATK,Shot ATK,Melee DEF,Shot DEF,Beam RES,Phys. RES,EX ID,Trait,Wep Type,Wep Cat,Notes
1,Claw Module,,3,6,,1,2,6,26,287,1011,0,0,0,190,54,1,,2,3,"Free Missions, Friend Point Capsule, Capital Shop"
2,Fist Module,,3,6,,1,2,6,26,287,1011,0,0,0,190,54,2,,2,3,"Free Missions, Friend Point Capsule, Capital Shop"
3,Gundam [Pre-Registration Reward],01-01-1-01,4,1,,2,1,1,13,364,187,570,570,570,81,81,3,,,,Pre-Registration Reward
4,Gundam [Pre-Registration Reward],01-01-2-01,4,2,,2,1,1,13,757,187,0,570,570,138,138,,Buff EX Skill effect up 15%,,,Pre-Registration Reward
5,Gundam [Pre-Registration Reward],01-01-3-01,4,3,,2,1,1,6,364,570,187,570,570,81,81,,"Beam ranged weapon, reload speed boosted 15%",,,Pre-Registration Reward
6,Gundam [Pre-Registration Reward],01-01-4-01,4,4,,2,1,1,6,364,187,187,757,757,139,139,,"With Power attribute (self), Mid Shot Attack raised 14%",,,Pre-Registration Reward
7,Gundam [Pre-Registration Reward],01-01-5-01,4,5,,2,1,1,13,364,187,187,757,757,139,139,,"All-Rounder Job, Vernier recovery rate boosted 15%",,,Pre-Registration Reward
8,Beam Javelin [Pre-Registration Reward],01-01-6d-01,4,6,,2,1,1,6,364,757,0,364,364,201,201,,Job Gauge increase boosted 13%,1,6,Pre-Registration Reward
9,Beam Saber [Gundam / Pre-Registration Reward],01-01-6a-01,4,6,,2,1,1,6,364,757,0,364,364,201,201,,Job Gauge increase boosted 13%,1,2,Pre-Registration Reward
10,Beam Rifle [Gundam / Pre-Registration Reward],01-01-7a-01,4,7,,2,1,1,7,364,0,757,364,364,201,201,,Enemy Shooting power reduced 25%,1,8,Pre-Registration Reward
11,Hyper Bazooka [Gundam / Pre-Registration Reward],01-01-7d-01,4,7,,2,1,1,7,364,0,757,364,364,201,201,,"With Power attribute (self), Job Gauge increase boosted 13%",2,12,Haro Chip Capsule
12,Shield [Gundam / Pre-Registration Reward],01-01-8-01,4,8,,2,1,1,6,0,0,0,942,942,201,201,,"With Rifle Category equipped, Debuff EX Skill effect up 15%",,,Pre-Registration Reward
13,Gundam,01-01-1-01,5,1,,4,2,1,13,796,383,2378,796,796,212,212,3,,,,Haro Chip Capsule
14,Gundam,01-01-2-01,5,2,,4,2,1,13,1602,383,383,1180,1180,288,288,,"With Saber Category equipped, Melee power boosted 30%",,,Haro Chip Capsule
15,Gundam,01-01-3-01,5,3,,4,2,1,6,796,2378,383,1180,1180,0,0,,"With Technique attribute (self), Melee DMG taken reduced by 35",,,Haro Chip Capsule
16,Gundam,01-01-4-01,5,4,,4,2,1,6,796,383,383,1180,1180,475,502,,"With Technique attribute (self), Mid Shot Attack raised 20%",,,Haro Chip Capsule
17,Gundam,01-01-5-01,5,5,,4,2,1,13,796,383,383,1180,1180,502,475,4,,,,Haro Chip Capsule
18,Beam Javelin,01-01-6d-01,5,6,,4,2,1,6,796,3176,0,0,0,417,417,5,,1,6,Haro Chip Capsule
19,Beam Saber [Gundam],01-01-6a-01,5,6,,4,2,1,6,796,3176,0,0,0,417,417,,Melee CRIT rate boosted 30%,1,2,Haro Chip Capsule
20,Beam Rifle [Gundam],01-01-7a-01,5,7,,4,2,1,7,796,0,3176,0,0,417,417,6,,1,8,Haro Chip Capsule
21,Hyper Bazooka,01-01-7d-01,5,7,,4,2,1,7,796,0,3176,0,0,417,417,,"With Technique attribute (self), Shooting DMG output boosted by 35",2,12,Haro Chip Capsule
22,Shield [Gundam],01-01-8-01,5,8,,4,2,1,6,796,0,0,1602,1602,417,417,,"With Technique attribute (self), Buff EX Skill effect up 22%",,,Haro Chip Capsule
23,Guntank,01-03-1-01,6,1,,1,1,8,25,287,137,372,372,372,0,138,7,,,,"Free Missions, Friend Point Capsule, Capital Shop"
24,Guntank,01-03-2-01,6,2,,1,1,8,15,509,137,0,372,372,0,190,8,,,,"Free Missions, Friend Point Capsule, Capital Shop"
25,Guntank,01-03-3-01,6,3,,1,1,8,15,287,372,137,372,372,54,138,9,,,,"Free Missions, Friend Point Capsule, Capital Shop"
26,Guntank,01-03-4-01,6,4,,1,1,8,25,287,137,137,509,509,138,54,,EX Skill recovery boosted 10%,,,"Free Missions, Friend Point Capsule, Capital Shop"
27,Guntank,01-03-5-01,6,5,,1,1,8,25,287,137,137,509,509,54,138,,"Physical ranged weapon, magazine boosted 10%",,,"Free Missions, Friend Point Capsule, Capital Shop"
28,Guncannon,01-02-1-01,7,1,,1,1,7,16,373,137,798,137,137,110,110,3,,,,"Free Missions, Friend Point Capsule, Capital Shop"
29,Guncannon,01-02-2-01,7,2,,1,1,7,24,640,137,287,287,287,110,110,10,,,,"Free Missions, Friend Point Capsule, Capital Shop"
30,Guncannon,01-02-3-01,7,3,,1,1,7,15,373,287,287,373,373,0,0,,"With ""Zaku Type"" enemy, Sp. Shot DMG output boosted by 10",,,"Free Missions, Friend Point Capsule, Capital Shop"
31,Guncannon,01-02-4-01,7,4,,1,1,7,15,373,137,137,287,373,143,143,11,,,,"Free Missions, Friend Point Capsule, Capital Shop"
32,Guncannon,01-02-5-01,7,5,,1,1,7,24,373,137,137,287,373,142,142,,"Physical ranged weapon, magazine boosted 10%",,,"Free Missions, Friend Point Capsule, Capital Shop"
33,Beam Rifle [Guncannon],01-02-7b-01,7,7,,1,1,7,15,373,0,1014,0,0,138,138,12,,1,10,"Free Missions, Friend Point Capsule, Capital Shop"
