Index,Model,Name,Subname,Series,Issue,Japanese,Rarity,Attr,Marks,Capsule,Exchange,Limited,Sokai,Release Date,Link
1,,Unassigned [P],,99,,,1,1,4,,,,FALSE,2019-07-31,
2,,Unassigned [S],,99,,,1,3,4,,,,FALSE,2019-07-31,
3,,Unassigned [T],,99,,,1,2,4,,,,FALSE,2019-07-31,
4,RX-78-2,Gundam,Pre-Registration Reward,1,1,ガンダム【事前登録報酬】,2,1,3,,,,FALSE,2019-07-31,Dengeki
5,RX-78-2,Gundam,,1,1,ガンダム,4,2,1,,,,FALSE,2019-07-31,Dengeki
6,RX-75-4,Guntank,,1,3,ガンタンク,1,1,4,,,,FALSE,2019-07-31,Dengeki
7,RX-77-2,Guncannon,,1,2,ガンキャノン,1,1,4,,,,FALSE,2019-07-31,Dengeki
8,RGM-79,GM,,1,4,ジム,1,1,4,,,,FALSE,2019-07-31,Dengeki
9,MS-06,Zaku II,,1,5,ザクⅡ,1,2,4,,,,FALSE,2019-07-31,Dengeki
10,MS-06S,Zaku II,Char Aznable,1,6,ザクⅡ［シャア・アズナブル専用］,3,3,2,,,,FALSE,2019-07-31,Dengeki
11,MS-09B,Dom,,1,8,ドム,1,2,4,,,,FALSE,2019-07-31,Dengeki
12,MS-07B,Gouf,,1,7,グフ,1,2,4,,,,FALSE,2019-07-31,Dengeki
13,MSM-04,Acguy,,1,9,アッガイ,1,2,4,,,,FALSE,2019-07-31,Dengeki
14,MSM-07,Z'Gok,,1,10,ズゴック,1,2,4,,,,FALSE,2019-07-31,Dengeki
15,YMS-15,Gyan,,1,11,ギャン,1,2,4,,,,FALSE,2019-07-31,Dengeki
16,MS-14,Gelgoog,Mass Production Type,1,12,ゲルググ［量産型］,1,3,4,,,,FALSE,2019-07-31,Dengeki
17,MS-06F,Zaku Minelayer,,2,2,ザクマインレイヤー,1,2,4,,,,FALSE,2019-07-31,Dengeki
18,MS-06FS,Zaku II Type FS,Garma Zabi,2,1,ザクⅡFS［ガルマ・ザビ専用］,2,3,3,,,,FALSE,2019-07-31,Dengeki
19,MS-14C,Gelgoog Cannon,,2,3,ゲルググキャノン,1,1,4,,,,FALSE,2019-07-31,Dengeki
20,MW-01,Mobile Worker,,36,1,モビルワーカー,1,1,4,,,,FALSE,2019-07-31,Dengeki
21,RX-178,Gundam Mk-II,A.E.U.G. Design,8,2,ガンダムMk-Ⅱ［エゥーゴ仕様］,2,1,3,,,,FALSE,2019-07-31,Dengeki
22,RX-178,Gundam Mk-II,Titans Design,8,6,ガンダムMk-Ⅱ［ティターンズ仕様］,2,3,3,,,,FALSE,2019-07-31,Dengeki
23,RGM-86R,GM II,,8,5,ジムⅡ,1,3,4,,,,FALSE,2019-07-31,Dengeki
24,RMS-099,Rick Dias,Quattro Bajeena Colors,8,4,リック・ディアス［クワトロ・バジーナカラー］,2,2,3,,,,FALSE,2019-07-31,Dengeki
25,PMX-001,Palace Athene,,8,7,パラス・アテネ,2,1,3,,,,FALSE,2019-07-31,Dengeki
26,RGM-86R,GM III,,10,1,ジムⅢ,1,1,4,,,,FALSE,2019-07-31,Dengeki
27,AMX-014,Döven Wolf,,10,2,ドーベン・ウルフ,2,1,3,,,,FALSE,2019-07-31,Dengeki
28,RGM-89,Jegan,,11,2,ジェガン,2,2,3,,,,FALSE,2019-07-31,Dengeki
29,AMS-119,Geara Doga,,11,3,ギラ・ドーガ,2,2,3,,,,FALSE,2019-07-31,Dengeki
30,RX-78NT-1FA,Gundam NT-1,Chobham Armor,6,2,ガンダムNT-1［チョバムアーマー装備］,3,2,2,,,,FALSE,2019-07-31,Dengeki
31,MS-06FZ,Zaku II Kai,,6,4,ザクⅡ改,2,2,3,,,,FALSE,2019-07-31,Dengeki
32,MS-14Jg,Gelgoog Jäger,,6,7,ゲルググJ,2,3,3,,,,FALSE,2019-07-31,Dengeki
33,MSM-03C,Hy-Gogg,,6,5,ハイゴッグ,2,3,3,,,,FALSE,2019-07-31,Dengeki
34,MS-18E,Kämpfer,,6,6,ケンプファー,3,2,2,,,,FALSE,2019-07-31,Dengeki
